# para arcgis ó para grass
-2508.22971	-3586.3943	723464.772639	1158232.661996
2156.075374	-2894.377938	728121.863401	1158957.191647
2723.311827	-1790.681888	728684.982023	1160060.587345
1183.593244	-732.267485	727135.355325	1161107.063315
-2893.977047	-1615.162475	723069.660859	1160202.992306
-5515.788426	98.414707	720435.334778	1161891.834956
-5323.890786	487.825272	720624.62549	1162286.582726
15347.36571	-561.952463	741304.482538	1161367.889673
-2618.367391	474.264645	723332.154848	1162291.988412
-1436.369771	1000.024254	724502.367845	1162825.139093
-125.702044	686.020289	725819.786551	1162519.174815
812.568399	1073.691094	726757.362074	1162912.288607
2836.472501	-44.269586	728788.188981	1161808.699282
-2103.624009	1789.452457	723833.47814	1163609.787587
-3447.926337	1577.736447	722487.427857	1163392.081959
-3504.097149	1596.178088	722430.907561	1163407.829812
-4938.406929	2710.481689	721002.234716	1164506.299946
-141.833842	2348.271239	725789.808474	1164179.48832
1112.530909	1796.022012	727048.461226	1163637.98808
2586.856185	1563.6562	728525.589039	1163415.964916
4651.931214	1190.204572	730594.31827	1163055.77888
4673.31271	-38.997702	730623.317425	1161827.580213
5809.307061	-645.592925	731764.928915	1161226.7078
14425.972194	-624.352316	740381.866774	1161300.541594
7422.626	-953.761871	733379.011565	1160925.094174
13934.572838	-403.376391	739888.853691	1161518.792856
12643.327135	-7751.541984	738644.777718	1154160.66575
12361.518385	-7531.4295	738363.920541	1154382.878159
12692.704867	-7953.189754	738694.89587	1153958.976175
11415.490003	-5184.667605	737399.640067	1156719.129284
15381.312473	-8847.037694	741387.186752	1153085.610404
15255.716012	-8701.537268	741266.445945	1153236.925721
13143.885444	-284.371201	739096.251863	1161632.280364
15000.407812	-5396.374736	741001.291328	1156531.61615
15338.614719	-5492.461205	741323.359959	1156437.414262
19268.084846	-5689.168321	745252.046569	1156273.523084
14223.265781	-4183.651883	740203.275884	1157741.743113
11309.441819	446.314793	737258.823609	1162351.741101
11300.598648	-892.290714	737257.086497	1161012.200607
11105.973388	-857.679521	737059.893339	1161045.8908
12757.569232	-1228.063787	738717.974393	1160684.964999
14184.327031	-1886.439336	740153.187309	1160035.547667
14069.43942	-1894.564204	740033.761109	1160028.80212
14902.234844	-2745.307706	740873.610368	1159181.241866
15047.65341	-2727.234017	741017.666352	1159200.451942
-618.504353	-2354.510968	725347.44793	1159473.666871
-2394.595195	-7440.627371	723604.552424	1154377.826522
290.050733	-7245.534283	726287.178628	1154586.381703
3328.580311	-4279.184653	729306.23918	1157577.314553
-14449.276083	-2473.333102	711503.323546	1159259.397303
-14703.76505	-2003.035548	711246.814731	1159733.422909
-11302.893035	-5136.683463	714661.890881	1156623.335516
-10799.339194	-8519.336758	715210.839885	1153243.42541
-5877.809942	-7218.591055	720119.84636	1154574.738062
-5588.715029	-4866.922429	720393.464268	1156932.592415
14120.931949	-9962.969951	740137.742151	1151959.887966
12447.550865	-9627.926641	738459.797725	1152284.850711
11525.535095	-1878.16449	737489.321899	1160029.804321
10744.80072	-1841.879272	736708.298706	1160060.94812
11666.646301	-2091.598877	737631.819885	1159817.407288
12429.294312	-2454.325989	738397.195679	1159459.525085
11876.505493	-3010.874573	737847.940125	1158899.290283
10656.961487	-2466.886414	736624.34491	1159435.192078
7125.258118	-1991.526978	733088.97168	1159887.588501
6485.883911	-1265.921997	732444.759705	1160609.273071
5621.537903	-1200.508484	731579.897522	1160668.98468
6344.122314	-1826.673828	732306.348511	1160047.346313
5510.405518	-1709.924683	731472.082275	1160158.739502
5769.467712	-2313.218872	731739.99707	1159541.32312
6589.243896	-2490.514893	732556.173279	1159385.031128
5914.539124	-2723.9245	731882.756897	1159147.304688
5489.678894	-3307.574707	731463.428284	1158561.0495
4944.106873	-3756.057678	730919.021118	1158108.650879
5466.370728	-3905.832703	731442.468323	1157961.962891
6659.625305	-4017.435486	732636.681885	1157858.177917
6515.145325	-3358.934998	732487.66571	1158515.973328
7255.528687	-3865.230286	733231.576904	1158014.57312
9421.99292	-3406.033386	735395.292114	1158487.9245
10278.233887	-3501.117798	736252.666687	1158398.483093
10904.531311	-3572.517883	736879.43512	1158331.18988
13390.543518	-4875.906311	739374.8573	1157044.14032
12557.343079	-4525.649902	738539.193909	1157388.888489
12447.593323	-3276.809875	738420.931885	1158637.048096
11786.526917	-4259.068604	737766.280884	1157650.415894
10067.332703	-4326.873413	736047.003296	1157571.317688
8970.125671	-4470.367371	734950.366699	1157420.484924
7851.970093	-4580.702393	733833.107117	1157302.89209
6944.043274	-4735.534302	732925.735474	1157142.081726
5739.455505	-4680.348816	731721.080505	1157191.045288
4818.105713	-4820.231384	730801.527527	1157043.278076
4749.542297	-5599.532593	730736.117676	1156264.295288
5774.588501	-5698.976013	731762.422729	1156169.57373
6618.873718	-5684.545227	732606.680908	1156190.773315
7688.89032	-5497.920898	733675.758728	1156384.546509
8747.557678	-5226.221985	734732.923706	1156662.922729
9967.276489	-5260.997375	735953.179504	1156636.635071
11759.484497	-5728.191528	737749.335876	1156181.179077
13436.11853	-5828.473083	739426.793091	1156091.648499
10187.539307	-6196.61731	736179.084717	1155702.360291
7372.334473	-6417.328613	733365.078674	1155463.026306
6704.496887	-6374.590576	732697.263306	1155501.548889
5908.949707	-6295.474487	731900.594116	1155575.004089
5176.775513	-6564.155579	731169.86853	1155301.639282
4534.446106	-6403.578491	730525.734131	1155459.450684
4992.681519	-7247.146118	730990.841492	1154617.939087
5671.264282	-7014.147705	731669.319092	1154851.297485
6233.114685	-7053.551392	732229.786316	1154819.293091
7225.71991	-6987.912903	733222.414124	1154891.681519
8157.606079	-6436.737183	734151.239929	1155448.909302
9007.013916	-6432.218506	735000.87793	1155459.216492
9887.81012	-7119.24939	735885.813904	1154777.732117
10704.77533	-7465.183777	736705.450684	1154437.379272
9287.161072	-8150.804993	735292.238281	1153742.093079
8825.539307	-7365.860779	734825.257324	1154523.718506
